股票代码,股票简称,公告日期,净利润(元),营业总收入(元),营业总支出(元),营业支出(元),销售费用(元),管理费用(元),财务费用(元),营业利润(元),利润总额(元),营业总收入同比(%),净利润同比(%)
600251,冠农股份,2023-07-06 00:00:00,264335900.6,1845098044.78,1963483494.81,1817123961.59,28743825.59,64149486.19,34409586.47,48205416.69,-66469497.58,-49.1241128673,15.18
600898,ST美讯,2023-06-28 00:00:00,-40195104.47,102540079.2,144437220.76,104171889.57,2577548.95,25661624.56,6251592.18,-47858642.73,-47896853.35,-39.0578562204,-113.217355788241
300165,天瑞仪器,2023-06-27 00:00:00,-39979184.95,704172551.97,748829708.82,477268719.81,137638728.34,80528730.04,-16849989.91,-36886514.86,-36950692.44,-24.3434395086,-4099.76
300878,维康药业,2023-06-21 00:00:00,93930944.61,474349508.65,378538950.77,173261027.43,142753220.14,27717379.55,1512661.09,112894059.68,112886699.44,-5.3973312529,1.31
603665,康隆达,2023-06-13 00:00:00,127091864.57,893612192.09,801745343.37,667040639.54,33887983.42,77438985.06,-28647607.2,144143802.15,143375733.32,15.7928305846,254.31
603001,ST奥康,2023-06-10 00:00:00,-131292900.96,2107335249.86,2207733298.83,1186588994.21,784980450.44,190544008.38,-503415.77,-117399909.28,-111515224.81,-1.6520129808,-392.94
603076,乐惠国际,2023-05-11 00:00:00,52180379.84,921203139.15,859506306.54,690977944.05,47921745.97,67908404.91,6974768.71,43829793.14,53048861.67,26.2006050688,-22.04
605318,法狮龙,2023-05-06 00:00:00,15926840.21,491096494.55,476455852.76,354722980.13,52758280.79,50183838.78,-7628279.81,14412808.21,16436786.1,12.3337880907,-60.55
688565,力源科技,2023-05-04 00:00:00,-4183481.31,195180377.43,188099520.39,142707736.28,4124197.16,26083934.98,465.09,-3546895.37,-3549575.27,40.9255855672,-129.38
600238,海南椰岛,2023-04-29 00:00:00,-13825827.04,342622869.07,383861042.64,228723688,64573216.74,56328166.52,16293516.72,-21797678.32,-20571338.97,-49.5373571172,-8.309218621804
002502,ST鼎龙,2023-04-29 00:00:00,-94785358.34,239318329.29,333622648.43,210058381.79,15749936.04,91604980.37,4520021.9,-108005726.27,-113284297.98,-37.9036182273,348.53
002570,贝因美,2023-04-29 00:00:00,44249710.35,2028858436.64,1952142934.1,1178755584.53,579813560.51,124959020.72,32320166.92,55114409.94,55654025.92,22.3627880691,14.19
603278,大业股份,2023-04-29 00:00:00,-168082377.12,3902631938.02,4129190727.34,3872892308.83,43749488.53,71014622.31,71628872.09,-192215297.49,-191142453.77,10.5832500345,-160.17
000935,四川双马,2023-04-29 00:00:00,765389238.03,891175429.5,636617636.34,514308777.1,12874950.77,80344539.78,-1114635.32,887371431.34,887375179.58,5.2893007056,17.79
600387,ST海越,2023-04-29 00:00:00,70399004.24,5049883242.7,4931439073.32,4835997423.05,35569012.13,60984090.4,-12353761.34,121369374.24,127330704.96,-10.0907360072,289.28
603026,胜华新材,2023-04-29 00:00:00,861885880.63,6465517379.33,5446083098.65,5144731618.93,52532695.43,95191801.72,-88887085.94,1024821962.49,1041069374.52,27.9159260114,16.25
002699,*ST美盛,2023-04-29 00:00:00,133908440.67,1091563177.98,943805841.67,783236540.47,39811090,104642381.15,-11449251.59,151831547.4,153900962.03,42.3890003934,153.32
600126,杭钢股份,2023-04-29 00:00:00,496203459.85,36332578567.34,35763542674.51,35019216109.64,19085797.97,334238002.94,-253108413.91,691829472.43,691422565.52,-6.5145180621,-69.36
000883,湖北能源,2023-04-28 00:00:00,1836656734.94,16434685646.59,14404304228.45,13216747027.39,23285762.52,385969828.36,663631183.8,2550198931.32,2544064030.57,1.372675848,-32.88
688265,南模生物,2023-04-28 00:00:00,-75071.53,215445346.9,234245219.39,125763917.51,20953540.37,45937776.34,-3739571.4,-3594726.72,-3737828.96,13.5515679592,-100.19
605588,冠石科技,2023-04-28 00:00:00,66069203.03,861085057.94,789002319.97,732564875.16,10521257.89,23507215.33,-4845901.59,76774523.39,77258865.32,-20.3777848117,-1.67
300742,*ST越博,2023-04-28 00:00:00,-116010326.94,146176794.09,238756327.41,130175727.62,10157652.09,40755158.26,37800275.73,-121038973.52,-120976131.73,-48.6349259705,-544.11
688130,晶华微,2023-04-28 00:00:00,41675153.77,103478435.04,70048700.78,27073248.62,4102307.82,11128211.17,-2536835.32,44879686.67,44798865.22,-22.7597089381,-33.76
000581,威孚高科,2023-04-28 00:00:00,1266684917.31,9744973391.15,9459685799.15,8350589562.03,131224186.05,434717264.08,49772469.09,1371188937.64,1365398607.84,-21.2467884531,-40.53
300359,全通教育,2023-04-28 00:00:00,70645903.33,413358985.01,401317531.11,302055359.17,19296325.27,51915187.52,1953415.6,105306642.17,104859509.62,-6.5188829154,407.24
603843,正平股份,2023-04-28 00:00:00,24090313.06,1514143949.49,1525064727.13,1341978231.31,5684856.25,87794521.94,84199680.22,37630637.6,37720274.18,-47.7440217688,-62.92
002992,宝明科技,2023-04-28 00:00:00,-115697410.56,695952459.97,803213766.5,678316612.43,18354072.88,42591820.17,12300059.14,-112698859.13,-117003493.37,-15.1509383173,22.72
000909,ST数源,2023-04-28 00:00:00,9300331.61,619599426.25,563846829.22,445650666.45,5251722.99,44608641.09,39185631.53,29235570.83,36095162.65,-56.76704484,-75.52
300322,硕贝德,2023-04-27 00:00:00,-22617936.63,1180517123.42,1216339202.87,950446218.59,36727880.45,117320117.08,-10404810.94,-22295858.6,-27594286.58,-18.862827342,-157.18
603038,华立股份,2023-04-27 00:00:00,6934048.45,586881588.29,587820831.31,489261475.81,22580473.49,42912946.96,7884081.38,3803093.92,3812986.32,-30.3681041108,-78.54
002513,蓝丰生化,2023-04-27 00:00:00,-12096001.39,1091224761.19,1120927109.52,1041048449.84,7901158.93,65583106.91,-1040375.9,-18894383.69,-16350286.4,0.5115300881,101.59
600822,上海物贸,2023-04-27 00:00:00,23583033.35,4109842894.36,4155444106.94,3916276464.22,92313288.75,144861198.42,75971.97,17188622.45,19389639.01,-26.0362886129,-83.98
300868,杰美特,2023-04-26 00:00:00,-15882063.95,552917151.59,580888539.8,428735506.27,95136810.44,38374790.6,-16850816.14,-20893111.6,-21638130.51,10.9804932593,-146.56
688090,瑞松科技,2023-04-26 00:00:00,15988890.38,823195168.45,811787098.33,691601930.62,32974780.51,39577334.65,-3057434.72,14390816.08,13646366.46,18.4510636087,-21.04
300083,创世纪,2023-04-26 00:00:00,436910736.5,3880859948.6,3460734682.13,2859292091.06,184018556,212940985.99,96387130.3,555343842.66,541685667.35,-5.7683393005,7.69
000688,国城矿业,2023-04-25 00:00:00,158729977.7,1159302585.77,982075810,713470499.19,2963268.46,173257423.13,21933108.3,185163718.28,168682832.89,50.1178550068,2.66
600608,ST沪科,2023-04-25 00:00:00,3898961.47,284604483.26,283487026.32,272640656.8,3620732.29,3793976.39,3048516.76,5691776.23,5691776.23,21.0264177472,75.46
300008,天海防务,2023-04-22 00:00:00,81489771.33,1887158415.55,1868196891.92,1745627565.15,12520886.51,90741757.05,-33809104.39,90119918.05,91203026.33,119.4727634882,319.54
688119,中钢洛耐,2023-04-21 00:00:00,184702042.02,2172419090.69,1960893576.03,1695409649.46,39257236.91,97918899.23,-8726165.41,210875782.3,211580049.93,4.4066488857,-7.89
601136,首创证券,2023-04-20 00:00:00,449521700,1194316200,644111200,None,None,629438100,None,550205000,549345100,-19.3149477318,-25.949355098614
