股票代码,股票简称,公告日期,净利润(元),营业总收入(元),营业总支出(元),营业支出(元),销售费用(元),管理费用(元),财务费用(元),营业利润(元),利润总额(元),营业总收入同比(%),净利润同比(%)
301372,科净源,2023-07-21 00:00:00,-3216748.22,40811149.46,47140123.46,25328401.46,4384924.67,10417457.87,2316125.97,-13523705.81,-3623310.34,-36.5742734951,66.85
688671,碧兴物联,2023-07-21 00:00:00,13690903.71,72183533.28,66588180.48,39612473.49,11033236.95,7180930.61,-559922.57,15649905.99,15653097.4,19.4792484407,383.38
300904,威力传动,2023-07-21 00:00:00,4047646.02,96127660.99,97215025.76,76238881.36,2253587.78,7074671.73,2561406.88,2654566.16,4162141.05,87.4993563684,273.057289828467
603296,华勤技术,2023-07-20 00:00:00,590251529.18,16820510079.77,16344715045.15,14631809896.59,51821632.47,513776518.9,-913618.18,664238214.39,664258776.03,-24.0626022981,205.64
301487,盟固利,2023-07-20 00:00:00,14041515.28,610998315.65,638181688,591469489.49,1952020.59,12929174.93,14144716.79,15494769.66,15500124.08,-37.5288854935,-47.62
301348,蓝箭电子,2023-07-19 00:00:00,15762853,174770168.39,156823498.84,136299336.89,1714393.49,6989798.49,293895.66,17078541.16,17099266.24,11.8345059868,33.1
688347,华虹公司,2023-07-18 00:00:00,1044228236.78,4374300427.29,3365724208.15,2805496105.71,18504095.87,170270282.04,3409229.04,902583094.35,902964889.56,14.8961370116,62.74
600749,西藏旅游,2023-07-17 00:00:00,-8639421.33,25387253.27,35804635.96,22234774.06,2623778.2,10627384.34,184424.17,-9239502.77,-8978255.08,139.6935501468,61.673125340274
301362,民爆光电,2023-07-17 00:00:00,45032508.99,349434953.84,295996753.18,235697634.25,19564796.63,14690240.16,3332523.48,49588029.03,49629223.37,11.2981058569,22.26
301509,金凯生科,2023-07-14 00:00:00,40666713.67,213889447.06,164128214.79,124289242.5,5985836.66,20554377.53,3730252.61,49009645.28,49001754.01,38.4802197767,22.46
000545,金浦钛业,2023-07-14 00:00:00,-71719158.73,590767060.05,663330117.03,614035654.77,2064285.47,17341936.16,5802078.44,-85341672.83,-85200526.5,-20.0414908172,-308.58
